B00000 SWS                               6189 -15593   2
<AREA>SWS<NAT_CODE>AK09<GACC>Alaska
2664                 63.675   60.360 -152.079 -160.200   62.799 -152.081
   63.248 -152.607   63.246 -152.603   63.244 -152.601   63.242 -152.601
   63.240 -152.600   63.238 -152.597   63.236 -152.593   63.235 -152.589
   63.234 -152.584   63.233 -152.579   63.231 -152.576   63.229 -152.575
   63.227 -152.573   63.225 -152.570   63.223 -152.566   63.221 -152.565
   63.221 -152.565   63.220 -152.563   63.218 -152.562   63.215 -152.565
   63.214 -152.569   63.213 -152.569   63.211 -152.565   63.210 -152.561
   63.208 -152.557   63.206 -152.555   63.205 -152.554   63.203 -152.552
   63.201 -152.550   63.199 -152.546   63.197 -152.543   63.195 -152.540
   63.193 -152.537   63.191 -152.533   63.189 -152.530   63.187 -152.528
   63.185 -152.527   63.183 -152.528   63.181 -152.527   63.179 -152.524
   63.178 -152.519   63.176 -152.515   63.174 -152.510   63.173 -152.506
   63.171 -152.502   63.170 -152.501   63.167 -152.500   63.165 -152.499
   63.164 -152.497   63.161 -152.494   63.159 -152.490   63.159 -152.486
   63.158 -152.482   63.156 -152.478   63.155 -152.474   63.154 -152.469
   63.154 -152.465   63.153 -152.461   63.152 -152.456   63.151 -152.451
   63.149 -152.447   63.149 -152.443   63.148 -152.439   63.147 -152.434
   63.146 -152.430   63.145 -152.428   63.140 -152.428   63.136 -152.428
   63.131 -152.428   63.126 -152.428   63.120 -152.428   63.115 -152.428
   63.109 -152.428   63.104 -152.428   63.098 -152.428   63.093 -152.428
   63.088 -152.428   63.082 -152.428   63.077 -152.428   63.071 -152.428
   63.066 -152.428   63.060 -152.428   63.055 -152.428   63.049 -152.429
   63.044 -152.429   63.039 -152.429   63.033 -152.428   63.028 -152.428
   63.022 -152.428   63.017 -152.428   63.011 -152.428   63.006 -152.428
   63.000 -152.428   62.997 -152.426   62.992 -152.426   62.987 -152.426
   62.981 -152.426   62.976 -152.426   62.971 -152.426   62.967 -152.426
   62.962 -152.427   62.957 -152.427   62.957 -152.421   62.957 -152.416
   62.957 -152.410   62.957 -152.405   62.957 -152.399   62.957 -152.393
   62.957 -152.388   62.957 -152.382   62.957 -152.377   62.957 -152.371
   62.957 -152.365   62.958 -152.360   62.957 -152.354   62.957 -152.348
   62.957 -152.343   62.957 -152.337   62.957 -152.332   62.957 -152.326
   62.957 -152.320   62.957 -152.315   62.957 -152.309   62.957 -152.303
   62.957 -152.298   62.957 -152.292   62.957 -152.286   62.957 -152.281
   62.957 -152.275   62.957 -152.269   62.957 -152.264   62.957 -152.258
   62.957 -152.252   62.957 -152.247   62.957 -152.241   62.957 -152.235
   62.957 -152.230   62.957 -152.224   62.957 -152.218   62.957 -152.213
   62.957 -152.207   62.957 -152.201   62.957 -152.196   62.957 -152.190
   62.957 -152.185   62.957 -152.179   62.957 -152.173   62.957 -152.168
   62.957 -152.162   62.957 -152.157   62.957 -152.151   62.957 -152.145
   62.957 -152.140   62.957 -152.134   62.957 -152.129   62.957 -152.123
   62.957 -152.117   62.957 -152.112   62.952 -152.112   62.947 -152.112
   62.942 -152.112   62.937 -152.112   62.932 -152.112   62.927 -152.112
   62.922 -152.112   62.916 -152.112   62.910 -152.112   62.905 -152.113
   62.899 -152.113   62.899 -152.107   62.899 -152.102   62.899 -152.096
   62.899 -152.091   62.899 -152.085   62.899 -152.079   62.894 -152.079
   62.888 -152.080   62.883 -152.080   62.878 -152.080   62.872 -152.080
   62.867 -152.080   62.862 -152.080   62.857 -152.080   62.852 -152.080
   62.847 -152.080   62.843 -152.080   62.838 -152.080   62.833 -152.080
   62.827 -152.080   62.822 -152.080   62.817 -152.080   62.812 -152.080
   62.807 -152.081   62.802 -152.081   62.799 -152.081
   8                 57.522   57.519 -156.296 -156.303   57.522 -156.296
   57.519 -156.303   57.522 -156.297   57.522 -156.296
B00000 CGF                               6931 -15391 618
<AREA>CGF<NAT_CODE>AK99<GACC>Alaska
18598                 71.391   66.212 -141.003 -166.832   68.879 -166.218
   68.879 -166.217   68.880 -166.215   68.881 -166.214   68.883 -166.214
   68.881 -166.195   68.881 -166.192   68.880 -166.181   68.880 -166.180
   68.868 -165.988   68.862 -165.819   68.862 -165.809   68.860 -165.796
   68.855 -165.792   68.859 -165.788   68.856 -165.700   68.856 -165.682
   68.854 -165.656   68.855 -165.640   68.854 -165.619   68.854 -165.612
   68.854 -165.608   68.852 -165.575   68.855 -165.454   68.855 -165.438
   68.855 -165.414   68.856 -165.388   68.856 -165.371   68.858 -165.340
   68.859 -165.321   68.860 -165.320   68.861 -165.297   68.861 -165.296
   68.862 -165.274   68.864 -165.256   68.868 -165.209   68.868 -165.201
   68.869 -165.190   68.868 -165.164   68.873 -165.133   68.873 -165.132
   68.876 -165.095   68.876 -165.090   68.876 -165.068   68.877 -165.049
   68.879 -165.023   68.881 -165.004   68.882 -164.995   68.880 -164.989
   68.888 -164.903   68.883 -164.887   68.888 -164.894   68.890 -164.890
   68.898 -164.729   68.912 -164.633   68.904 -164.632   68.886 -164.584
   68.893 -164.593   68.903 -164.623   68.912 -164.627   68.915 -164.455
   68.922 -164.352   68.923 -164.331   68.925 -164.306   68.927 -164.288
   68.931 -164.235   68.943 -164.153   68.967 -164.070   68.989 -163.947
   68.997 -163.919   69.000 -163.913   69.006 -163.900   69.010 -163.891
   69.013 -163.885   69.032 -163.847   69.076 -163.681   69.088 -163.660
   69.132 -163.554   69.157 -163.512   69.189 -163.475   69.237 -163.363
   69.287 -163.272   69.327 -163.219   69.325 -163.220   69.321 -163.220
   69.318 -163.224   69.316 -163.231   69.312 -163.236   69.309 -163.241
   69.305 -163.246   69.300 -163.252   69.297 -163.254   69.294 -163.256
   69.293 -163.262   69.292 -163.265   69.288 -163.268   69.285 -163.270
   69.284 -163.275   69.282 -163.273   69.283 -163.264   69.284 -163.260
   69.284 -163.257   69.285 -163.254   69.285 -163.251   69.285 -163.248
   69.285 -163.240   69.285 -163.236   69.285 -163.234   69.288 -163.231
   69.290 -163.229   69.294 -163.225   69.298 -163.220   69.301 -163.216
   69.304 -163.213   69.308 -163.207   69.312 -163.202   69.314 -163.199
